matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
436,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,4,CCCCCCCC1CCC(=O)O1,0.44398293,CCCCC(=O)O,20,CCCCCCCC1CCC(=O)O1,0.0756528
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,C=CCCCCCCCCC(=O)O,0.70537925,CCCCCCCC1CCC(=O)O1,27,C=CCCCCCCCCC(=O)O,0.035197005
436,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,16,CC(C)CC(=O)O,0.67965174,CCOC(=O)CC,11,CC(C)CC(=O)O,0.16843353
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CC(=O)c1ccccc1,0.45233038,CCOC(=O)CC,14,CC(=O)c1ccccc1,0.03875957
443,0,Cc1ccc(C(C)C)c(O)c1,37,CC(=O)c1ccccn1,0.40090352,CC(C)=CCCC(C)C=O,24,CC(=O)c1ccccn1,0.06619443
443,0,Cc1ccc2ncccc2c1,28,CCCCCC1CCC(=O)O1,0.4511515,CCCCC(=O)O,31,CCCCCC1CCC(=O)O1,0.083919436
443,0,CCCSCCC,35,CC(C)CCOC(=O)Cc1ccccc1,0.61286175,CC(C)CC(=O)O,41,CC(C)CCOC(=O)Cc1ccccc1,0.08812001
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCCOC(=O)CCCC,0.6808172,CC(C)CC(=O)O,41,CCCCCOC(=O)CCCC,0.16557148
443,0,Cc1ccc(C(C)C)c(O)c1,37,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.58435,C=CCCCCCCCCC(=O)O,40,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.034108125
443,0,Cc1ccccc1,38,Cc1cc(O)c(C(C)C)cc1Cl,0.43971452,CCOC(=O)CC,14,Cc1cc(O)c(C(C)C)cc1Cl,0.027034761
443,0,CCCSCCC,35,O=CC=Cc1ccccc1,0.30678767,C=CCCCCCCCCC(=O)O,40,O=CC=Cc1ccccc1,0.018077247
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,O=c1ccc2ccccc2o1,0.5228834,CCOC(=O)CC,14,O=c1ccc2ccccc2o1,0.023175988
443,0,Cc1ccc(C(C)C)c(O)c1,37,CCCCNCCCC,0.6700687,CCCCCCCC1CCC(=O)O1,39,CCCCNCCCC,0.159542
443,0,CCCSCCC,35,CC(C)(O)CCc1ccccc1,0.39379948,C=CCCCCCCCCC(=O)O,40,CC(C)(O)CCc1ccccc1,0.013412855
443,0,Cc1ccc(C(C)C)c(O)c1,37,Cc1nccnc1C,0.43650863,C=CCCCCCCCCC(=O)O,40,Cc1nccnc1C,0.074792445
443,0,Cc1ccc(C(C)C)c(O)c1,37,Cc1cnc(C)cn1,0.4875023,C=CCCCCCCCCC(=O)O,40,Cc1cnc(C)cn1,0.10078846
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CSSSC,0.68363893,C=CCCCCCCCCC(=O)O,40,CSSSC,0.013565505
443,0,CCCSCCC,35,CCOC(=O)CC,0.6353871,CC(C)CC(=O)O,41,CCOC(=O)CC,0.08610799
443,0,CCCSCCC,35,CC12CCC(CC1)C(C)(C)O2,0.44435516,C=CCCCCCCCCC(=O)O,40,CC12CCC(CC1)C(C)(C)O2,0.056323092
